   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    1   2.338026    34.994167     0.938368      35.0067   38.47254  100.00000    8
   0    0    2   2.024790    32.777015     0.924171        32.79   44.72098   47.00894    6
   0    2    2   1.431743    26.666119     0.869500      26.6803   65.09698   26.71328   12
   1    1    3   1.220994    23.237932     0.830630      23.2528   78.22962   28.36846   24
   2    2    2   1.169013    22.224956     0.818063        22.24   82.43646    7.98841    8
   0    0    4   1.012395    18.691185     0.769669       18.707   99.08112    3.71279    6
   1    3    3   0.929037    16.497957     0.735262      16.5143  112.01975   12.58952   24
   0    2    4   0.905514    15.840495     0.724138       15.857  116.57000   12.33833   24
   2    2    4   0.826617    13.524463     0.681300      13.5416  137.45521   13.96813   24
   3    3    3   0.779342    12.069306     0.650843      12.0868  162.52395    9.74755    8
   1    1    5   0.779342    12.069306     0.650843      12.0868  162.52395   29.24266   24
   0    4    4   0.715871    10.069926     0.603077       10.088   -1.#IND0    1.#QNAN   12
